,wgt,total_return_1d,factor1,factor2,factor3,factor4,factor5,Intercept,country_AU,country_BE,country_CA,country_CH,country_CN,country_DE,country_DK,country_ES,country_FI,country_FR,country_GB,country_HK,country_IE,country_IT,country_JP,country_NL,country_NO,country_SE,country_US,sector_50,sector_51,sector_52,sector_53,sector_54,sector_55,sector_56,sector_57,sector_59,sector_60
45,5.48E-05,-0.019532355,1.047609017,-1.331632348,0.774130923,2.800361352,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
46,0.001826368,0.011657609,0.499339054,-1.83421597,-1.534412619,-3,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
47,0.000111734,-0.04665719,0.176026151,-0.381904269,-0.416265738,2.647014669,0.763519194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
48,0.000145044,-0.016945003,0.392120931,-0.942627602,0.107361512,2.520192435,-0.341492873,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
49,0.000770553,-0.00145,0.499339054,-1.129542568,0.19742272,0.395849055,0.718262992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
50,0.000200522,0.009582051,0.122301796,0.13076659,0.027780755,2.373120478,-0.96584673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
51,0.000299584,0.02488202,-0.695831069,0.432517811,0.094546283,1.823601477,0.559916418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
52,0.000429438,0.002209626,-0.863751932,1.091116044,0.35525988,1.984799696,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
53,0.002207053,0.001290202,0.499339054,-0.265455814,0.807744368,-1.855947057,0.968882839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
54,6.11E-05,-0.011081127,-0.344063757,-0.527501871,0.220082913,2.837733192,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
